province_code,date,title,prize_codes,prize_order
KH79,3-1-2024,G8,05,0
KH79,3-1-2024,G7,149,1
KH79,3-1-2024,G6,2382 2792 4208,2
KH79,3-1-2024,G5,8245,3
KH79,3-1-2024,G4,63299 56199 75451 91296 84922 22211 67748,4
KH79,3-1-2024,G3,23577 42214,6
KH79,3-1-2024,G2,66271,7
KH79,3-1-2024,G1,90564,8
KH79,3-1-2024,ĐB,689870,9
KH79,7-1-2024,G8,34,0
KH79,7-1-2024,G7,021,1
KH79,7-1-2024,G6,9436 8081 7769,2
KH79,7-1-2024,G5,4101,3
KH79,7-1-2024,G4,77336 03171 23228 87229 85344 44723 49554,4
KH79,7-1-2024,G3,08769 98649,6
KH79,7-1-2024,G2,79962,7
KH79,7-1-2024,G1,94557,8
KH79,7-1-2024,ĐB,657289,9
KH79,10-1-2024,G8,39,0
KH79,10-1-2024,G7,344,1
KH79,10-1-2024,G6,7161 0215 3882,2
KH79,10-1-2024,G5,1488,3
KH79,10-1-2024,G4,37431 82023 14376 19492 84291 08573 21075,4
KH79,10-1-2024,G3,15651 85802,6
KH79,10-1-2024,G2,69411,7
KH79,10-1-2024,G1,97408,8
KH79,10-1-2024,ĐB,982711,9
KH79,13-12-2023,G8,95,0
KH79,13-12-2023,G7,323,1
KH79,13-12-2023,G6,6164 1882 7845,2
KH79,13-12-2023,G5,5567,3
KH79,13-12-2023,G4,49414 95257 78023 28605 09683 57770 13122,4
KH79,13-12-2023,G3,92789 15797,6
KH79,13-12-2023,G2,36437,7
KH79,13-12-2023,G1,35275,8
KH79,13-12-2023,ĐB,700962,9
KH79,14-1-2024,G8,20,0
KH79,14-1-2024,G7,575,1
KH79,14-1-2024,G6,5816 6888 7414,2
KH79,14-1-2024,G5,8631,3
KH79,14-1-2024,G4,83278 84794 61856 63822 51795 62188 53838,4
KH79,14-1-2024,G3,31075 18577,6
KH79,14-1-2024,G2,80012,7
KH79,14-1-2024,G1,62182,8
KH79,14-1-2024,ĐB,852112,9
KH79,17-1-2024,G8,58,0
KH79,17-1-2024,G7,116,1
KH79,17-1-2024,G6,4783 0210 4172,2
KH79,17-1-2024,G5,7871,3
KH79,17-1-2024,G4,52123 87312 31236 06495 48869 91420 73087,4
KH79,17-1-2024,G3,62856 31058,6
KH79,17-1-2024,G2,13475,7
KH79,17-1-2024,G1,06180,8
KH79,17-1-2024,ĐB,066469,9
KH79,21-1-2024,G8,93,0
KH79,21-1-2024,G7,552,1
KH79,21-1-2024,G6,2921 2593 9026,2
KH79,21-1-2024,G5,8873,3
KH79,21-1-2024,G4,83537 51007 45299 18553 81287 00662 94656,4
